agency_name,url,portal,csv,pdf,other
Adams County IN SO,https://transparency.flocksafety.com/adams-county-in-so,0,0,0,0
Adams County WA SO,https://transparency.flocksafety.com/adams-county-wa-so,0,0,0,0
Adams County WI SO,https://transparency.flocksafety.com/adams-county-wi-so,0,0,0,0
Adams WI PD,https://transparency.flocksafety.com/adams-wi-pd,0,0,0,0
Adamsville AL PD,https://transparency.flocksafety.com/adamsville-al-pd,0,0,0,0
Addis LA PD,https://transparency.flocksafety.com/addis-la-pd,0,0,0,0
Addison IL PD,https://transparency.flocksafety.com/addison-il-pd,0,0,0,0
Addison TX PD,https://transparency.flocksafety.com/addison-tx-pd,0,0,0,0
Adrian MI PD,https://transparency.flocksafety.com/adrian-mi-pd,0,0,0,0
Adrian Township MI PD,https://transparency.flocksafety.com/adrian-township-mi-pd,0,0,0,0
Ahoskie NC PD,https://transparency.flocksafety.com/ahoskie-nc-pd,0,0,0,0
Airway Heights WA PD,https://transparency.flocksafety.com/airway-heights-wa-pd,0,0,0,0
Akron OH PD,https://transparency.flocksafety.com/akron-oh-pd,1,0,0,0
Al-Huda School MD,https://transparency.flocksafety.com/al-huda-school-md,0,0,0,0
Alabama Department of Corrections,https://transparency.flocksafety.com/alabama-department-of-corrections,0,0,0,0
Alabama Department of Revenue,https://transparency.flocksafety.com/alabama-department-of-revenue,0,0,0,0
Alabama Drug Enforcement Task Force Region G,https://transparency.flocksafety.com/alabama-drug-enforcement-task-force-region-g,0,0,0,0
Alabama Law Enforcement Agency (ALEA),https://transparency.flocksafety.com/alabama-law-enforcement-agency-(alea),0,0,0,0
Alabama-Coushatta TX PD,https://transparency.flocksafety.com/alabama-coushatta-tx-pd,0,0,0,0
Alabaster AL PD,https://transparency.flocksafety.com/alabaster-al-pd,0,0,0,0
Alachua County FL SO,https://transparency.flocksafety.com/alachua-county-fl-so,0,0,0,0
Alachua FL PD,https://transparency.flocksafety.com/alachua-fl-pd,0,0,0,0
Alameda CA PD,https://transparency.flocksafety.com/alameda-ca-pd,1,0,0,1
Alameda County CA SO,https://transparency.flocksafety.com/alameda-county-ca-so,0,0,0,0
Albany CA PD,https://transparency.flocksafety.com/albany-ca-pd,1,0,0,1
Albany City NY PD,https://transparency.flocksafety.com/albany-city-ny-pd,0,0,0,0
Albany County Department of Law NY,https://transparency.flocksafety.com/albany-county-department-of-law-ny,0,0,0,0
Albany County NY SO,https://transparency.flocksafety.com/albany-county-ny-so,0,0,0,0
Albany GA PD,https://transparency.flocksafety.com/albany-ga-pd,0,0,0,0
Albany NY PD -Duplicate-no not use,https://transparency.flocksafety.com/albany-ny-pd--duplicate-no-not-use,0,0,0,0
Albertville AL PD,https://transparency.flocksafety.com/albertville-al-pd,0,0,0,0
Albion MI DPS,https://transparency.flocksafety.com/albion-mi-dps,0,0,0,0
Alcoa TN PD,https://transparency.flocksafety.com/alcoa-tn-pd,0,0,0,0
Alcorn County MS SO,https://transparency.flocksafety.com/alcorn-county-ms-so,0,0,0,0
Aldine ISD PD TX,https://transparency.flocksafety.com/aldine-isd-pd-tx,0,0,0,0
Alexander AR PD,https://transparency.flocksafety.com/alexander-ar-pd,0,0,0,0
Alexander City AL PD,https://transparency.flocksafety.com/alexander-city-al-pd,0,0,0,0
Alexander City Housing Authority AL,https://transparency.flocksafety.com/alexander-city-housing-authority-al,0,0,0,0
Alexander County NC SO,https://transparency.flocksafety.com/alexander-county-nc-so,0,0,0,0
Alexandria City VA SO,https://transparency.flocksafety.com/alexandria-city-va-so,0,0,0,0
Alexandria IN PD,https://transparency.flocksafety.com/alexandria-in-pd,0,0,0,0
Alexandria VA PD,https://transparency.flocksafety.com/alexandria-va-pd,1,0,1,0
Algood TN PD,https://transparency.flocksafety.com/algood-tn-pd,0,0,0,0
Alhambra CA PD,https://transparency.flocksafety.com/alhambra-ca-pd,0,0,0,0
Allegan County SO MI,https://transparency.flocksafety.com/allegan-county-so-mi,0,0,0,0
Allegheny County PA DA,https://transparency.flocksafety.com/allegheny-county-pa-da,0,0,0,0
Allen County KS Communications Center,https://transparency.flocksafety.com/allen-county-ks-communications-center,0,0,0,0
Allen County KS SO,https://transparency.flocksafety.com/allen-county-ks-so,0,0,0,0
Allen County KY SO,https://transparency.flocksafety.com/allen-county-ky-so,0,0,0,0
Allen Park PD MI,https://transparency.flocksafety.com/allen-park-pd-mi,1,0,0,0
Allen TX PD,https://transparency.flocksafety.com/allen-tx-pd,0,0,0,0
Allentown PA PD,https://transparency.flocksafety.com/allentown-pa-pd,0,0,0,0
Alma GA PD,https://transparency.flocksafety.com/alma-ga-pd,0,0,0,0
Alpharetta GA PD,https://transparency.flocksafety.com/alpharetta-ga-pd,0,0,0,0
Alpine County CA SO,https://transparency.flocksafety.com/alpine-county-ca-so,0,0,0,0
Altamonte Springs FL PD,https://transparency.flocksafety.com/altamonte-springs-fl-pd,0,0,0,0
Altavista VA PD,https://transparency.flocksafety.com/altavista-va-pd,0,0,0,0
Altoona IA PD,https://transparency.flocksafety.com/altoona-ia-pd,1,0,0,0
Altoona WI PD,https://transparency.flocksafety.com/altoona-wi-pd,1,0,0,0
Alvarado TX PD,https://transparency.flocksafety.com/alvarado-tx-pd,0,0,0,0
Alvin ISD TX PD,https://transparency.flocksafety.com/alvin-isd-tx-pd,0,0,0,0
Alvin TX PD,https://transparency.flocksafety.com/alvin-tx-pd,0,0,0,0
Amador County CA Sheriff's Office,https://transparency.flocksafety.com/amador-county-ca-sheriffs-office,0,0,0,0
Amarillo TX PD,https://transparency.flocksafety.com/amarillo-tx-pd,0,0,0,0
Amberley Village OH PD,https://transparency.flocksafety.com/amberley-village-oh-pd,1,0,0,0
Amelia County VA SO,https://transparency.flocksafety.com/amelia-county-va-so,0,0,0,0
American Canyon CA PD,https://transparency.flocksafety.com/american-canyon-ca-pd,0,0,0,0
Americus GA PD,https://transparency.flocksafety.com/americus-ga-pd,0,0,0,0
Amery WI PD,https://transparency.flocksafety.com/amery-wi-pd,0,0,0,0
Amherst County VA SO,https://transparency.flocksafety.com/amherst-county-va-so,1,0,0,0
Amherst OH PD,https://transparency.flocksafety.com/amherst-oh-pd,1,0,0,0
Amherst Town NY PD,https://transparency.flocksafety.com/amherst-town-ny-pd,0,0,0,0
Amherst VA PD,https://transparency.flocksafety.com/amherst-va-pd,0,0,0,0
Anaheim CA PD,https://transparency.flocksafety.com/anaheim-ca-pd,0,0,0,0
Anchorage KY PD,https://transparency.flocksafety.com/anchorage-ky-pd,0,0,0,0
Anderson CA PD,https://transparency.flocksafety.com/anderson-ca-pd,0,0,0,0
Anderson County SC SO,https://transparency.flocksafety.com/anderson-county-sc-so,0,0,0,0
Anderson County TN SO,https://transparency.flocksafety.com/anderson-county-tn-so,0,0,0,0
Anderson IN PD,https://transparency.flocksafety.com/anderson-in-pd,0,0,0,0
Anderson SC PD,https://transparency.flocksafety.com/anderson-sc-pd,0,0,0,0
Andover KS PD,https://transparency.flocksafety.com/andover-ks-pd,0,0,0,0
Andrews TX PD,https://transparency.flocksafety.com/andrews-tx-pd,0,0,0,0
Angels Camp CA PD,https://transparency.flocksafety.com/angels-camp-ca-pd,0,0,0,0
Angier NC PD,https://transparency.flocksafety.com/angier-nc-pd,0,0,0,0
Angleton PD TX,https://transparency.flocksafety.com/angleton-pd-tx,0,0,0,0
Ankeny IA PD,https://transparency.flocksafety.com/ankeny-ia-pd,0,0,0,0
Anna TX PD,https://transparency.flocksafety.com/anna-tx-pd,0,0,0,0
Anne Arundel County MD PD,https://transparency.flocksafety.com/anne-arundel-county-md-pd,0,0,0,0
Anoka County MN SO,https://transparency.flocksafety.com/anoka-county-mn-so,1,0,0,0
Anoka MN PD,https://transparency.flocksafety.com/anoka-mn-pd,1,0,0,0
Antelope County NE SO,https://transparency.flocksafety.com/antelope-county-ne-so,0,0,0,0
Anthony TX PD,https://transparency.flocksafety.com/anthony-tx-pd,0,0,0,0
Antigo WI PD,https://transparency.flocksafety.com/antigo-wi-pd,0,0,0,0
Antioch CA PD,https://transparency.flocksafety.com/antioch-ca-pd,0,0,0,0
Antioch IL PD,https://transparency.flocksafety.com/antioch-il-pd,0,0,0,0
Apache Junction AZ PD,https://transparency.flocksafety.com/apache-junction-az-pd,1,0,0,0
Apex NC PD,https://transparency.flocksafety.com/apex-nc-pd,0,0,0,0
Apopka FL PD,https://transparency.flocksafety.com/apopka-fl-pd,0,0,0,0
App State University NC PD,https://transparency.flocksafety.com/app-state-university-nc-pd,1,0,0,1
Appalachian Regional Healthcare System NC PD,https://transparency.flocksafety.com/appalachian-regional-healthcare-system-nc-pd,0,0,0,0
Appleton WI PD,https://transparency.flocksafety.com/appleton-wi-pd,0,0,0,0
Appling County GA SO,https://transparency.flocksafety.com/appling-county-ga-so,0,0,0,0
Appomattox County VA SO,https://transparency.flocksafety.com/appomattox-county-va-so,0,0,0,0
Aransas Pass TX PD,https://transparency.flocksafety.com/aransas-pass-tx-pd,1,0,0,0
Arapahoe County CO SO,https://transparency.flocksafety.com/arapahoe-county-co-so,0,0,0,0
Arcadia CA PD,https://transparency.flocksafety.com/arcadia-ca-pd,0,0,0,0
Arcanum OH PD,https://transparency.flocksafety.com/arcanum-oh-pd,1,0,0,0
Archbold OH PD,https://transparency.flocksafety.com/archbold-oh-pd,0,0,0,0
Arcola IL PD,https://transparency.flocksafety.com/arcola-il-pd,0,0,0,0
Arcola MS PD,https://transparency.flocksafety.com/arcola-ms-pd,0,0,0,0
Arcola TX PD,https://transparency.flocksafety.com/arcola-tx-pd,0,0,0,0
Ardmore AL PD,https://transparency.flocksafety.com/ardmore-al-pd,0,0,0,0
Ardmore OK PD,https://transparency.flocksafety.com/ardmore-ok-pd,0,0,0,0
Argo AL PD,https://transparency.flocksafety.com/argo-al-pd,0,0,0,0
Argo Community High School District,https://transparency.flocksafety.com/argo-community-high-school-district,0,0,0,0
Argos PD IN,https://transparency.flocksafety.com/argos-pd-in,0,0,0,0
Argyle TX PD,https://transparency.flocksafety.com/argyle-tx-pd,0,0,0,0
Arlington County VA PD,https://transparency.flocksafety.com/arlington-county-va-pd,0,0,0,0
Arlington Heights IL PD,https://transparency.flocksafety.com/arlington-heights-il-pd,0,0,0,0
Arlington PD (WA),https://transparency.flocksafety.com/arlington-pd-(wa),0,0,0,0
Arlington TX PD,https://transparency.flocksafety.com/arlington-tx-pd,1,0,0,0
Armada MI PD,https://transparency.flocksafety.com/armada-mi-pd,0,0,0,0
Armstrong County TX SO,https://transparency.flocksafety.com/armstrong-county-tx-so,0,0,0,0
Arnold MO PD,https://transparency.flocksafety.com/arnold-mo-pd,0,0,0,0
Arnolds Park IA PD,https://transparency.flocksafety.com/arnolds-park-ia-pd,0,0,0,0
Arvada CO PD,https://transparency.flocksafety.com/arvada-co-pd,0,0,0,0
Arvin CA PD,https://transparency.flocksafety.com/arvin-ca-pd,0,0,0,0
Ash Grove MO PD,https://transparency.flocksafety.com/ash-grove-mo-pd,0,0,0,0
Asheboro NC PD,https://transparency.flocksafety.com/asheboro-nc-pd,0,0,0,0
Asheville NC PD,https://transparency.flocksafety.com/asheville-nc-pd,1,0,0,0
Ashland AL PD,https://transparency.flocksafety.com/ashland-al-pd,0,0,0,0
Ashland City TN PD,https://transparency.flocksafety.com/ashland-city-tn-pd,0,0,0,0
Ashland County OH SO,https://transparency.flocksafety.com/ashland-county-oh-so,1,0,0,1
Ashland County WI SO,https://transparency.flocksafety.com/ashland-county-wi-so,0,0,0,0
Ashland KY PD,https://transparency.flocksafety.com/ashland-ky-pd,0,0,0,0
Ashland MO PD,https://transparency.flocksafety.com/ashland-mo-pd,0,0,0,0
Ashmore IL PD,https://transparency.flocksafety.com/ashmore-il-pd,0,0,0,0
Ashtabula OH PD,https://transparency.flocksafety.com/ashtabula-oh-pd,0,0,0,0
Ashville AL PD,https://transparency.flocksafety.com/ashville-al-pd,0,0,0,0
Aspen CO PD,https://transparency.flocksafety.com/aspen-co-pd,0,0,0,0
Aston PA PD,https://transparency.flocksafety.com/aston-pa-pd,0,0,0,0
Athens County OH SO,https://transparency.flocksafety.com/athens-county-oh-so,0,0,0,0
Athens IL PD,https://transparency.flocksafety.com/athens-il-pd,0,0,0,0
Athens OH PD,https://transparency.flocksafety.com/athens-oh-pd,0,0,0,0
Athens-Clarke County GA PD,https://transparency.flocksafety.com/athens-clarke-county-ga-pd,0,0,0,0
Atherton CA PD,https://transparency.flocksafety.com/atherton-ca-pd,1,0,0,0
Atlanta GA PD,https://transparency.flocksafety.com/atlanta-ga-pd,0,0,0,0
Atlanta Police Foundation Training Facility GA PD,https://transparency.flocksafety.com/atlanta-police-foundation-training-facility-ga-pd,0,0,0,0
Atlanta Public Schools GA PD,https://transparency.flocksafety.com/atlanta-public-schools-ga-pd,0,0,0,0
Atlantis FL PD,https://transparency.flocksafety.com/atlantis-fl-pd,0,0,0,0
Atoka TN PD,https://transparency.flocksafety.com/atoka-tn-pd,0,0,0,0
Attalla AL PD,https://transparency.flocksafety.com/attalla-al-pd,0,0,0,0
Attleboro MA PD,https://transparency.flocksafety.com/attleboro-ma-pd,0,0,0,0
Attorney General of Illinois - Medicare Fraud Division,https://transparency.flocksafety.com/attorney-general-of-illinois---medicare-fraud-division,0,0,0,0
Atwater CA PD,https://transparency.flocksafety.com/atwater-ca-pd,0,0,0,0
Aubrey TX PD,https://transparency.flocksafety.com/aubrey-tx-pd,1,0,0,0
Auburn AL PD,https://transparency.flocksafety.com/auburn-al-pd,0,0,0,0
Auburn CA PD,https://transparency.flocksafety.com/auburn-ca-pd,1,0,0,1
Auburn GA PD,https://transparency.flocksafety.com/auburn-ga-pd,0,0,0,0
Auburn Hills MI PD,https://transparency.flocksafety.com/auburn-hills-mi-pd,0,0,0,0
Auburn IL PD,https://transparency.flocksafety.com/auburn-il-pd,0,0,0,0
Auburn IN PD,https://transparency.flocksafety.com/auburn-in-pd,0,0,0,0
Auburn NY PD,https://transparency.flocksafety.com/auburn-ny-pd,0,0,0,0
Auburn University AL,https://transparency.flocksafety.com/auburn-university-al,0,0,0,0
Auburn WA PD,https://transparency.flocksafety.com/auburn-wa-pd,0,0,0,0
Audrain County MO SO,https://transparency.flocksafety.com/audrain-county-mo-so,0,0,0,0
Audubon County IA SO,https://transparency.flocksafety.com/audubon-county-ia-so,0,0,0,0
Audubon Park KY PD,https://transparency.flocksafety.com/audubon-park-ky-pd,0,0,0,0
Auglaize County OH SO,https://transparency.flocksafety.com/auglaize-county-oh-so,1,0,0,0
Augusta County VA SO,https://transparency.flocksafety.com/augusta-county-va-so,1,0,0,0
Augusta KS DPS,https://transparency.flocksafety.com/augusta-ks-dps,0,0,0,0
Augusta University GA PD,https://transparency.flocksafety.com/augusta-university-ga-pd,0,0,0,0
Aurora CO PD,https://transparency.flocksafety.com/aurora-co-pd,0,0,0,0
Aurora IL PD,https://transparency.flocksafety.com/aurora-il-pd,0,0,0,0
Aurora MO PD,https://transparency.flocksafety.com/aurora-mo-pd,0,0,0,0
Aurora OH PD,https://transparency.flocksafety.com/aurora-oh-pd,0,0,0,0
Austell GA PD,https://transparency.flocksafety.com/austell-ga-pd,0,0,0,0
Austin County TX SO,https://transparency.flocksafety.com/austin-county-tx-so,0,0,0,0
Austin TX PD,https://transparency.flocksafety.com/austin-tx-pd,1,0,0,0
Austintown Township OH PD,https://transparency.flocksafety.com/austintown-township-oh-pd,0,0,0,0
Avenal CA PD,https://transparency.flocksafety.com/avenal-ca-pd,0,0,0,0
Avery County NC SO,https://transparency.flocksafety.com/avery-county-nc-so,0,0,0,0
Avoca PA PD,https://transparency.flocksafety.com/avoca-pa-pd,0,0,0,0
Avon CO PD,https://transparency.flocksafety.com/avon-co-pd,0,0,0,0
Avon CT PD,https://transparency.flocksafety.com/avon-ct-pd,0,0,0,0
Avon IN PD,https://transparency.flocksafety.com/avon-in-pd,1,0,0,0
Avon Lake OH PD,https://transparency.flocksafety.com/avon-lake-oh-pd,1,0,0,1
Avon OH PD,https://transparency.flocksafety.com/avon-oh-pd,0,0,0,0
Avondale AZ PD,https://transparency.flocksafety.com/avondale-az-pd,0,0,0,0
Avondale Estates GA PD,https://transparency.flocksafety.com/avondale-estates-ga-pd,0,0,0,0
Azle TX PD,https://transparency.flocksafety.com/azle-tx-pd,0,0,0,0
Azusa CA PD,https://transparency.flocksafety.com/azusa-ca-pd,0,0,0,0
BNSF IL PD,https://transparency.flocksafety.com/bnsf-il-pd,0,0,0,0
Backtrace - NJ State Police,https://transparency.flocksafety.com/backtrace---nj-state-police,0,0,0,0
Bainbridge GA PD,https://transparency.flocksafety.com/bainbridge-ga-pd,0,0,0,0
Bainbridge Township OH PD,https://transparency.flocksafety.com/bainbridge-township-oh-pd,1,0,0,0
Baker County FL SO,https://transparency.flocksafety.com/baker-county-fl-so,0,0,0,0
Baker County GA SO,https://transparency.flocksafety.com/baker-county-ga-so,0,0,0,0
Baker LA PD,https://transparency.flocksafety.com/baker-la-pd,0,0,0,0
Bakersfield CA PD,https://transparency.flocksafety.com/bakersfield-ca-pd,1,0,0,1
Balch Springs TX PD,https://transparency.flocksafety.com/balch-springs-tx-pd,0,0,0,0
Baldwin County GA SO,https://transparency.flocksafety.com/baldwin-county-ga-so,0,0,0,0
Baldwin GA PD,https://transparency.flocksafety.com/baldwin-ga-pd,0,0,0,0
Baldwin Park CA PD,https://transparency.flocksafety.com/baldwin-park-ca-pd,0,0,0,0
Ball State University IN PD,https://transparency.flocksafety.com/ball-state-university-in-pd,0,0,0,0
Ballard County KY SO,https://transparency.flocksafety.com/ballard-county-ky-so,0,0,0,0
Ballwin MO PD,https://transparency.flocksafety.com/ballwin-mo-pd,0,0,0,0
Bancroft KY PD,https://transparency.flocksafety.com/bancroft-ky-pd,0,0,0,0
Bangor WI PD,https://transparency.flocksafety.com/bangor-wi-pd,0,0,0,0
Banks County GA SO,https://transparency.flocksafety.com/banks-county-ga-so,0,0,0,0
Banner Elk NC PD,https://transparency.flocksafety.com/banner-elk-nc-pd,0,0,0,0
Barber County KS SO,https://transparency.flocksafety.com/barber-county-ks-so,0,0,0,0
Barberton OH PD,https://transparency.flocksafety.com/barberton-oh-pd,0,0,0,0
Bardstown PD KY,https://transparency.flocksafety.com/bardstown-pd-ky,0,0,0,0
Bargersville IN PD,https://transparency.flocksafety.com/bargersville-in-pd,0,0,0,0
Barling AR PD,https://transparency.flocksafety.com/barling-ar-pd,1,0,0,1
Barnegat TWP NJ PD,https://transparency.flocksafety.com/barnegat-twp-nj-pd,0,0,0,0
Barnesville GA PD,https://transparency.flocksafety.com/barnesville-ga-pd,0,0,0,0
Barnett Reservoir MS PD,https://transparency.flocksafety.com/barnett-reservoir-ms-pd,0,0,0,0
Barnstable MA PD,https://transparency.flocksafety.com/barnstable-ma-pd,0,0,0,0
Barnwell SC PD,https://transparency.flocksafety.com/barnwell-sc-pd,0,0,0,0
Barre MA PD,https://transparency.flocksafety.com/barre-ma-pd,0,0,0,0
Barrington Hills IL PD,https://transparency.flocksafety.com/barrington-hills-il-pd,0,0,0,0
Barrington IL PD,https://transparency.flocksafety.com/barrington-il-pd,0,0,0,0
Barron County WI SO,https://transparency.flocksafety.com/barron-county-wi-so,0,0,0,0
Barron IL PD,https://transparency.flocksafety.com/barron-il-pd,0,0,0,0
Barron WI PD,https://transparency.flocksafety.com/barron-wi-pd,0,0,0,0
Barrow County GA SO,https://transparency.flocksafety.com/barrow-county-ga-so,1,0,0,0
Barry County SO MO,https://transparency.flocksafety.com/barry-county-so-mo,0,0,0,0
Barstow CA PD,https://transparency.flocksafety.com/barstow-ca-pd,1,0,0,0
Bartholomew County IN SO,https://transparency.flocksafety.com/bartholomew-county-in-so,0,0,0,0
Bartlesville OK PD,https://transparency.flocksafety.com/bartlesville-ok-pd,0,0,0,0
Bartlett IL PD,https://transparency.flocksafety.com/bartlett-il-pd,0,0,0,0
Bartlett TN PD,https://transparency.flocksafety.com/bartlett-tn-pd,0,0,0,0
Barton County KS SO,https://transparency.flocksafety.com/barton-county-ks-so,0,0,0,0
Bartonville IL PD,https://transparency.flocksafety.com/bartonville-il-pd,0,0,0,0
Bartonville TX PD,https://transparency.flocksafety.com/bartonville-tx-pd,0,0,0,0
Bartow County GA SO,https://transparency.flocksafety.com/bartow-county-ga-so,0,0,0,0
Basalt CO PD,https://transparency.flocksafety.com/basalt-co-pd,0,0,0,0
Bastrop County TX SO,https://transparency.flocksafety.com/bastrop-county-tx-so,0,0,0,0
Bastrop TX PD,https://transparency.flocksafety.com/bastrop-tx-pd,0,0,0,0
Batavia NY PD,https://transparency.flocksafety.com/batavia-ny-pd,0,0,0,0
Batesville AR PD,https://transparency.flocksafety.com/batesville-ar-pd,0,0,0,0
Bath Township OH PD,https://transparency.flocksafety.com/bath-township-oh-pd,0,0,0,0
Baton Rouge LA PD,https://transparency.flocksafety.com/baton-rouge-la-pd,0,0,0,0
Battle Creek MI PD,https://transparency.flocksafety.com/battle-creek-mi-pd,0,0,0,0
Baxter Springs PD KS,https://transparency.flocksafety.com/baxter-springs-pd-ks,0,0,0,0
Bay City TX PD,https://transparency.flocksafety.com/bay-city-tx-pd,0,0,0,0
Bay County FL SO,https://transparency.flocksafety.com/bay-county-fl-so,0,0,0,0
Bay Harbor Island FL PD,https://transparency.flocksafety.com/bay-harbor-island-fl-pd,0,0,0,0
Bay St. Louis MS PD,https://transparency.flocksafety.com/bay-st.-louis-ms-pd,0,0,0,0
Bay Village OH PD,https://transparency.flocksafety.com/bay-village-oh-pd,0,0,0,0
Bayfield County WI SO,https://transparency.flocksafety.com/bayfield-county-wi-so,0,0,0,0
Baylor Scott & White PD (TX),https://transparency.flocksafety.com/baylor-scott-&-white-pd-(tx),0,0,0,0
Bayonne NJ PD,https://transparency.flocksafety.com/bayonne-nj-pd,0,0,0,0
Bayou Vista TX PD,https://transparency.flocksafety.com/bayou-vista-tx-pd,0,0,0,0
Baytown TX PD,https://transparency.flocksafety.com/baytown-tx-pd,1,0,0,0
Bazetta Township OH PD,https://transparency.flocksafety.com/bazetta-township-oh-pd,0,0,0,0
Beachwood OH PD,https://transparency.flocksafety.com/beachwood-oh-pd,0,0,0,0
Beacon City NY PD,https://transparency.flocksafety.com/beacon-city-ny-pd,0,0,0,0
Beacon Falls CT PD,https://transparency.flocksafety.com/beacon-falls-ct-pd,0,0,0,0
Beardstown IL PD,https://transparency.flocksafety.com/beardstown-il-pd,0,0,0,0
Beaufort County SC SO,https://transparency.flocksafety.com/beaufort-county-sc-so,0,0,0,0
Beaufort SC PD,https://transparency.flocksafety.com/beaufort-sc-pd,0,0,0,0
Beaumont CA PD,https://transparency.flocksafety.com/beaumont-ca-pd,0,0,0,0
Beaumont TX PD,https://transparency.flocksafety.com/beaumont-tx-pd,0,0,0,0
Beaver Boro PA PD,https://transparency.flocksafety.com/beaver-boro-pa-pd,0,0,0,0
Beaver Dam WI PD,https://transparency.flocksafety.com/beaver-dam-wi-pd,0,0,0,0
Beavercreek OH PD,https://transparency.flocksafety.com/beavercreek-oh-pd,0,0,0,0
Becker County MN SO,https://transparency.flocksafety.com/becker-county-mn-so,1,0,0,0
Bedford County TN SO,https://transparency.flocksafety.com/bedford-county-tn-so,0,0,0,0
Bedford County VA SO,https://transparency.flocksafety.com/bedford-county-va-so,0,0,0,0
Bedford NY PD,https://transparency.flocksafety.com/bedford-ny-pd,0,0,0,0
Bedford OH PD,https://transparency.flocksafety.com/bedford-oh-pd,0,0,0,0
Bedford Park IL PD,https://transparency.flocksafety.com/bedford-park-il-pd,0,0,0,0
Bedford TX PD,https://transparency.flocksafety.com/bedford-tx-pd,0,0,0,0
Bedford VA PD,https://transparency.flocksafety.com/bedford-va-pd,0,0,0,0
